Origin,Distance_Result
521806,0.150056
522081,0.020917
523123,0.271466
524111,0.182997
525120,0.641377
525293,0.048608
525388,0.038108
525412,0.069724
525523,0.25419
526520,0.046991
526532,0.148874
526923,0.12704
526942,0.276419
527076,0.222829
528485,0.366387
530247,0.017087
530431,0.245121
530576,0.217848
530632,0.123872
531091,0.123827
531208,0.462199
531258,0.10456
531455,0.048313
532288,0.099067
532749,0.081448
533168,0.118897
533506,0.198683
533625,0.098183
533927,0.004848
534897,0.09719
535095,0.174233
535352,0.098935
536578,0.152876
538344,0.147536
538590,0.084353
539160,0.026323
539350,0.315193
540057,0.161112
540489,0.116081
541725,0.15873
542054,0.172738
542203,0.133019
543792,0.300253
544039,0.468434
544131,0.085881
544331,0.267762
545261,0.054866
545651,0.085256
546383,0.549071
546504,0.117839
546573,0.068649
547830,0.15548
548133,0.180763
548184,0.029475
549873,0.372474
550288,0.186629
550653,0.152217
550777,0.194179
550858,0.025892
552141,0.076328
552519,0.295104
552639,0.040008
553516,0.116323
553565,0.063592
553862,0.22793
554165,0.327863
555206,0.277606
557487,0.254971
559511,0.634519
560078,0.499674
560406,0.144791
563442,0.130024
563496,0.123306
564049,0.105404
564184,0.005157
564447,0.023488
564751,0.237639
565814,0.257234
566712,0.262321
566911,0.293941
567195,0.183397
568661,0.10932
568684,0.287464
568743,0.207973
570218,0.004298
570750,0.331429
571564,0.340872
573612,0.013526
573671,0.280668
573795,0.076042
573870,0.139314
575061,0.061107
576227,0.171776
576426,0.145504
576916,0.200815
577324,0.537531
577703,0.043744
577824,0.217522
578267,0.159563
578941,0.035242
579716,0.083272
580323,0.144893
581180,0.042779
581421,0.022937
581542,0.528453
582272,0.117444
582372,0.256311
583337,0.068472
583352,0.504542
584122,0.65156
585369,0.18939
585491,0.174379
585937,0.04944
586847,0.250206
587519,0.19165
587554,0.103257
587641,0.13009
587698,0.063162
587740,0.138514
588677,0.187969
590903,0.165838
591135,0.038661
591565,0.038742
591710,0.315571
592785,0.113491
592831,0.167254
592853,0.193429
593000,0.412326
593292,0.01084
593320,0.083889
594020,0.101011
594036,0.086982
594640,0.051314
594732,0.179982
595321,0.096847
595604,0.179557
596448,0.143088
597544,0.186378
597624,0.240441
598612,0.185754
599595,0.036676
599847,0.12477
600286,0.223534
600775,0.026005
600877,0.222872
602070,0.139158
602142,0.144707
602250,2.906762
602453,0.13618
602888,0.063106
606269,0.324639
607735,0.137955
607781,0.109456
607891,0.061572
609213,0.056485
609559,0.294725
609983,0.146675
610118,0.064108
610596,0.085619
611009,0.432291
611408,2.964203
612936,0.131755
613528,0.09608
613556,0.136836
613818,0.101206
614269,0.240868
616585,0.290452
618836,0.066264
618916,0.179633
619122,0.050065
619471,0.253163
620214,0.134405
621430,0.608603
622410,0.159289
623423,0.057717
623747,0.204944
624222,0.120042
625197,0.237152
625365,0.221726
627432,0.060491
627949,0.13337
628078,0.066242
628227,0.126941
629315,0.130932
629770,0.123813
629774,0.1264
629855,0.124096
629949,0.156627
630034,0.270439
633276,0.064443
633950,0.111881
634353,0.186126
635114,0.170368
635282,0.270757
635662,0.137371
636391,0.189626
637228,0.245677
637504,0.528009
637716,0.055291
638894,0.151671
638898,0.106887
639199,0.54819
639781,0.053821
640589,0.069325
640691,0.085013
640990,0.560386
641768,0.493048
642682,0.115183
643591,0.183925
643948,0.170752
644464,0.259203
644575,0.487771
644833,0.215706
644869,0.113257
645075,0.282131
645693,0.121207
645922,0.114837
645942,0.127014
646147,0.05552
646391,0.344956
646458,0.468327
647413,0.245838
647520,0.011019
647580,0.151595
648047,0.294245
648246,0.524887
649561,0.005471
649903,0.196889
651375,0.049327
651475,0.134499
651648,0.061415
652371,0.007719
652466,0.1433
652515,0.207654
652648,0.298441
652691,0.117473
654005,0.091854
654232,0.30298
654612,0.240049
655230,0.137558
655472,0.174277
655783,0.140654
656281,0.055789
657005,0.0791
657198,0.581548
657217,0.045048
657727,0.170938
658008,0.097128
658366,0.043371
658515,0.20505
658932,0.306818
659880,0.23325
659952,0.454891
660016,0.126097
660036,0.092349
661814,0.076896
663608,0.258816
664047,0.195492
665394,0.061851
666220,0.235586
666315,0.31538
666613,0.287735
667375,0.125334
667549,0.304577
668400,0.109751
668691,0.224658
669633,0.165008
669831,0.193422
670767,0.223861
671496,0.109181
671633,0.192378
672724,0.119588
673248,0.122157
673760,1.241222
674692,0.084294
675793,0.06651
676257,0.314603
676295,2.773739
679633,0.37604
679769,0.56262
680104,0.044961
680225,0.351166
680998,0.140447
681518,0.244005
681805,4.330369
682122,1.560445
682155,0.311349
683084,0.144717
683681,0.0784
683743,0.180522
683821,0.133818
684808,0.193571
684991,0.212744
685435,0.105993
686696,0.152798
688652,0.423777
689329,0.589846
689900,0.066917
690349,0.164541
690516,0.070406
690553,0.179522
690603,0.210488
690675,0.08557
690849,0.141873
690934,0.052214
690960,0.154809
692137,0.293687
692567,0.074583
693597,0.15237
695002,0.199705
695216,0.317014
695297,0.304164
695465,0.428191
696593,0.310651
697499,0.100749
697923,0.399469
698094,0.08231
698132,0.391843
698162,0.05328
698298,0.04878
698327,0.027229
698514,0.069141
698882,0.285142
699348,0.321771
699472,0.161913
700530,0.125478
700916,0.556482
701227,0.46823
702213,0.225591
702440,0.176428
702551,0.18739
703745,0.212036
703971,0.161459
704838,0.06481
705749,0.334944
705997,0.247465
706347,0.118498
707396,0.41633
707736,0.154276
708374,0.14572
708637,0.078308
710015,0.111513
710243,0.10958
710283,0.027101
710284,0.103652
711635,0.193895
712136,0.316333
712260,0.171278
713538,0.214448
713891,0.079192
714028,0.079413
714049,0.141043
714075,0.128681
714939,0.204878
715102,0.232089
715270,0.18658
716169,0.148989
718761,0.26713
719329,0.1971
719914,0.213962
720274,0.230581
720394,0.171626
721719,0.09358
721762,0.238066
722264,0.084535
722451,0.165958
722464,0.132365
723507,0.095699
723523,0.180221
723560,0.212216
723709,0.070618
725270,0.145189
725509,0.054507
726422,0.263526
726465,0.132521
726692,0.005414
727512,0.269011
727547,0.285445
727835,0.170339
727964,0.241826
728409,0.27319
728493,0.21168
728498,0.072641
728764,0.15737
729306,0.328638
729841,0.180468
730480,0.139111
731293,0.135478
731300,0.20795
731316,0.048633
732624,0.037809
732700,0.216651
734749,0.170025
735677,0.211509
735890,0.04401
736187,0.30913
737075,0.502325
737126,0.094147
738588,1.230363
739239,0.1764
739242,0.199568
739815,0.036455
740823,0.303831
740947,0.287503
741154,0.1409
741346,0.151283
741354,0.348424
741783,0.068409
741797,0.173885
741806,0.099117
742026,0.072784
742779,0.116146
742795,0.058762
744078,1.371482
744220,0.111525
744228,0.146114
745037,0.031941
746088,0.177463
746983,0.159134
746996,0.162962
747029,0.134461
747159,0.040209
747344,0.0183
747419,0.171186
747538,0.219216
747605,0.319854
748656,1.922905
749108,0.149341
749455,0.037561
749896,0.076389
749965,0.230364
751851,0.142258
752202,0.124524
752289,0.169902
752366,0.130533
752616,0.104928
752783,0.025292
753399,0.018948
753622,0.046218
753687,0.179425
753983,0.139357
753991,0.4349
754353,0.05375
755528,0.105995
755684,0.093443
755703,0.238893
756655,0.128284
756892,0.157474
756928,0.031706
757007,0.230766
757187,0.13569
758782,0.263565
760303,0.022359
761606,0.280481
761835,0.333428
762015,0.256172
762145,0.225245
763527,0.300306
763600,0.169808
763809,0.363015
763965,0.307362
764052,0.256646
764753,0.257837
765203,0.159608
765315,0.231343
765563,3.162465
765569,0.243368
766542,0.160235
766814,0.297798
766964,0.233473
767562,0.380208
767761,0.087125
767967,0.326773
767983,0.035564
769175,0.101079
769279,0.528261
769448,0.177209
770514,0.048973
770893,0.310397
770960,0.174039
771436,0.407511
772362,0.171853
772679,0.12865
773041,0.132249
773497,0.205976
773844,0.412406
773993,0.283632
774791,0.314176
774899,0.16217
775238,0.290603
775280,0.106816
775326,0.077182
776257,0.15482
777297,0.081076
777327,0.058631
778381,0.42983
778495,0.100274
779561,0.356172
779838,0.176224
