ID,LATITUDE,LONGITUDE,ZIP
20616864,40.787840000,-73.949310000,10029
20616888,40.652260000,-73.951660000,11226
20616929,40.859270000,-73.929660000,10040
20616948,40.707400000,-74.001510000,10038
20617748,40.685070000,-73.733420000,11413
20619757,40.683030000,-73.954310000,11216
20620313,40.681530000,-73.960500000,11238
20620647,40.753800000,-73.973550000,10017
20620681,40.723210000,-73.983270000,10009
20621413,40.753710000,-73.972260000,10017
20621540,40.687030000,-73.975750000,11217
20622747,40.749690000,-73.979370000,10016
20622825,40.707630000,-73.922230000,11237
20623171,40.721320000,-73.980680000,10009
20624287,40.681630000,-73.955580000,11216
20624427,40.827360000,-73.952920000,10031
20624541,40.708380000,-73.946450000,11206
20624666,40.675020000,-73.957320000,11238
20624817,40.760330000,-73.969460000,10022
20628186,40.653120000,-73.934130000,11203
20630578,40.743300000,-73.980700000,10016
20631204,40.685390000,-73.936380000,11221
20632255,40.774390000,-73.954890000,10075
20634473,40.772050000,-73.951280000,10075
20634950,40.729920000,-73.960000000,11222
20635939,40.753280000,-73.971930000,10017
20636416,40.714530000,-73.955100000,11211
20636888,40.757770000,-73.811720000,11355
20636966,40.714700000,-73.989940000,10002
20638833,40.773260000,-73.926770000,11102
20639280,40.786960000,-73.972930000,10024
20639311,40.743170000,-73.925320000,11104
20639628,40.681730000,-73.913420000,11233
20639792,40.682790000,-73.911700000,11207
20639914,40.682580000,-73.912840000,11233
20639971,40.730560000,-73.993570000,10003
20640353,40.709420000,-73.948970000,11206
20641332,40.720080000,-73.987860000,10002
20641534,40.700110000,-73.922410000,11237
20641793,40.576880000,-73.953080000,11235
20645320,40.770680000,-73.986740000,10023
20649144,40.822320000,-73.936470000,10039
20649522,40.695430000,-73.923240000,11221
20649687,40.848770000,-73.938210000,10033
20649922,40.712150000,-73.951770000,11211
20649927,40.617650000,-74.034060000,11209
20650006,40.692320000,-73.938640000,11221
20650014,40.742660000,-73.979200000,10016
20650417,40.711940000,-73.948920000,11211
20650685,40.689190000,-73.933500000,11221
20651049,40.707890000,-73.967550000,11211
20651136,40.745900000,-73.998670000,10011
20651206,40.729450000,-73.982030000,10009
20651451,40.817930000,-73.940170000,10030
20651581,40.651980000,-74.007630000,11232
20652600,40.684590000,-73.957320000,11238
20652607,40.696060000,-73.773110000,11433
20652620,40.750350000,-73.979070000,10016
20652753,40.749460000,-73.978500000,10016
